NameEng,AddressEng,NameChi,AddressChi
THE MERTON,38 NEW PRAYA KENNEDY TOWN,泓都,堅尼地城新海旁街38號
SMITHFIELD TERRACE,71-77 SMITHFIELD,嘉輝花園,士美非路71-77號
KWAN YICK BUILDING,DES VOEUX ROAD WEST,均益大廈,德輔道西
WING WAH MANSION,425G-425Z QUEEN'S ROAD WEST,永華大廈,皇后大道西425G-425Z號
HOI TAO BUILDING,7-11 BELCHER'S STREET,海都樓,卑路乍街7-11號
ISLAND CREST,8 FIRST STREET,縉城峰,第一街8號
DES VOEUX ROAD WEST BUILDING,406-408D DES VOEUX ROAD WEST,得富大樓,德輔道西406-408D號
WO FAT BUILDING,533-543 QUEEN'S ROAD WEST,和發大廈,皇后大道西533-543號
WHITTY STREET COURT,22-44 WHITTY STREET,屈地大廈,屈地街22-44號
CHONG YIP CENTRE,423-425 QUEEN'S ROAD WEST,創業中心,皇后大道西423-425號
WAH MING CENTRE,421 QUEEN'S ROAD WEST,華明中心,皇后大道西421號
NEW FORTUNE HOUSE,4-8 NORTH STREET,五福大廈,北街4-8號
CAYMAN RISE,29 KA WAI MAN ROAD,加惠臺,加惠民道29號
NAMHUNG MANSION,5-5H BELCHER'S STREET,南雄大廈,卑路乍街5-5H號
JADE COURT,"48-49 PRAYA, KENNEDY TOWN",翡翠閣,堅彌地城海旁48-49號
HANG SING MANSION,48-78 HIGH STREET,恆陞大樓,高街48-78號
WAI WAH COURT,12R SMITHFIELD,慧華閣,士美非路12R號
ELEGANT GARDEN,409 QUEEN'S ROAD WEST,怡景花園,皇后大道西409號
PEARL COURT,13 BELCHER'S STREET,珍珠閣,卑路乍街13號
SMITHFIELD COURT,43 SMITHFIELD,美菲閣,士美非路43號
YICK FUNG GARDEN,"20 PRAYA, KENNEDY TOWN",益豐花園,堅彌地城海旁20號
TAK LEE BUILDING,270-280 QUEEN'S ROAD WEST,得利大廈,皇后大道西270-280號
GRAND SCHOLAR,419K QUEEN'S ROAD WEST,博仕臺,皇后大道西419K
KO NGA COURT,9 HIGH STREET,高雅閣,高街9號
KIU SHING BUILDING,327-333 QUEEN'S ROAD WEST,僑成大樓,皇后大道西327-333號
SHUN CHEONG BUILDING,20-34 HAU WO STREET,順昌大廈,厚和街20-34號
CHEONG KAT MANSION,98-100 CATCHICK STREET,昌吉大廈,吉席街98-100號
BIC WAH COURT,464-464D DES VOEUX ROAD WEST,碧華閣,德輔道西464-464D號
KAM KWAN BUILDING,163-173 DES VOEUX ROAD WEST,金坤大廈,德輔道西163-173號
TSUI KING COURT,18 WATER STREET,翠景閣,水街18號
ASPEN COURT,46 HIGH STREET,楊華閣,高街46號
SHUN ON BUILDING,2 SANDS STREET,順安大廈,山市街2號
YEE FUNG COURT,101 THIRD STREET,怡豐閣,第三街101號
WING LEE BUILDING,18-24 KWAI HEUNG STREET,永利大廈,桂香街18-24號
SUM WAY MANSION,1-1F BELCHER'S STREET,三匯大廈,卑路乍街1-1F號
FUNG YIP BUILDING,347-349 DES VOEUX ROAD WEST,豐業大廈,德輔道西347-349號
CONNAUGHT GARDEN,155 CONNAUGHT ROAD WEST,高樂花園,干諾道西155號
HARBOUR VIEW GARDEN,21 NORTH STREET,海怡花園,北街21號
YUE SUN MANSION,89-99 THIRD STREET,裕新大廈,第三街89-99號
HEE WONG TERRACE,1 HEE WONG TERRACE,羲皇台一號,羲皇臺1號
KWONG FUNG TERRACE,163 THIRD STREET,廣豐臺,第三街163號
YING GA GARDEN,34 SANDS STREET,盈基花園,山市街34號
KAM LING COURT,1-3 WOO HOP STREET,金陵閣,和合街1-3號
TRUE LIGHT BUILDING,100-106 THIRD STREET,真光大廈,第三街100-106號
HANG YUE BUILDING,334-350 DES VOEUX ROAD WEST,恆裕大廈,德輔道西334-350號
TUNG LEE MANSION (BUILDING),1-15 ON NING LANE,東利大樓,安寧里1-15號
LUEN GAY APARTMENTS,124-134 BELCHER'S STREET,聯基新樓,卑路乍街124-134號
KENNEDY TOWN CENTRE,"38 PRAYA, KENNEDY TOWN",堅城中心,堅彌地城海旁38號
HING WONG BUILDING,23 NEW PRAYA KENNEDY TOWN,卿旺大廈,新海旁街23號
MEI WAH MANSION,36-42 SMITHFIELD,美華大廈,士美非路36-42號
FULL HARVEST BUILDING,6-18 HAU WO STREET,滿發大廈,厚和街6-18號
HING HON BUILDING,15 HING HON ROAD,興漢大廈,興漢道15號
LAI ON BUILDING,2-2C WATER STREET,荔安大廈,水街2-2C號
POGA BUILDING,6-20 PO TUCK STREET,保基大廈,保德街6-20號
JOY FAT MANSION (HOUSE),522-530 QUEEN'S ROAD WEST,再發大廈,皇后大道西522-530號
HANG (HAN) YU BUILDING,45-55 CADOGAN STREET,恆裕大廈,加多近街45-55號
SEA VIEW MANSION,37-37A BELCHER'S STREET,海傍大廈,卑路乍街37-37A號
MEI SHING MANSION,501-511 QUEEN'S ROAD WEST,美城大廈,皇后大道西501-511號
LUEN WAI APARTMENT,136-142 BELCHER'S STREET,聯威新樓,卑路乍街136-142號
WAH PO BUILDING,"1 NEW PRAYA, KENNEDY TOWN",華寶大廈,新海旁街1號
ON FAT BUILDING,10 KWAN YICK STREET,安發大廈,均益街10號
CHESTER COURT,"6-8 PRAYA, KENNEDY TOWN",澤安閣,堅彌地城海旁6-8號
WAH FAI COURT,1-6 YING WA TERRACE,華輝閣,英華臺1-6號
PO TAK MANSION,85 SMITHFIELD,寶德大廈,士美非路85號
IVY ON BELCHER'S,26 BELCHER'S STREET,綠意居,卑路乍街26號
BRILLIANT COURT,"28 PRAYA, KENNEDY TOWN",明珠閣,堅彌地城海旁28號
KING MING MANSION,69 POK FU LAM ROAD,錦明閣,薄扶林道69號
KIN LIONG MANSION,16-30 NORTH STREET,建隆樓,北街16-30號
KA ON BUILDING,"27 NEW PRAYA, KENNEDY TOWN",嘉安大廈,新海旁街27號
BELCHER COURT,2 SAI CHEUNG STREET,寶翠閣,西祥街2號
TONG NAM MANSION,43-47 THIRD STREET,東南大廈,第三街43-47號
FU GA BUILDING,7-13 YAT FU LANE,富基大廈,日富里7-13號
HANG HING COURT,2 FUK SAU LANE,恆興樓,福壽里2號
HARBOUR ONE,458 DES VOEUX ROAD WEST,維壹,德輔道西458號
